STAT3	Interstitial lung and liver disease	
CCR8	airway disease	
CCR1	airway disease	
VEGFA	stage, non-small cell lung cancer	
IFNG	Interstitial lung and liver disease	
CXCR4	airway disease	
CSF2	stage, non-small cell lung cancer	
IL2RA	Interstitial lung and liver disease	
AKT1	stage, non-small cell lung cancer	
C3	airway disease	
CCR3	airway disease	
CXCR2	airway disease	
IL4	Interstitial lung and liver disease	
EGFR	stage, non-small cell lung cancer	
CCR4	airway disease	
KRAS	stage, non-small cell lung cancer	
CCL5	airway disease	
PTGDR2	airway disease	
CXCL8	airway disease	
ERBB2	stage, non-small cell lung cancer	
FGFR1	stage, non-small cell lung cancer	
TAS2R38	airway disease	
HCAR3	PDYN	0.8407682499807351	
FGF1	VAV1	0.8513157657742707	
KIT	FGF20	0.8638403979636339	
HCAR3	PMCH	0.8407682499807351	
ERBB2	SHC1	0.8654276678361976	
PDGFRB	FGF7	0.8435102388865442	
Clopidogrel	CYP1A2	1	
IFNGR2	STAT1	0.8541037391936209	
rs8330	UGT1A9	0.96059601	
MET	NRTN	0.8372883840480309	
CYP2B6	rs3786547	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	PPBP	0.8638247395845513	
PDGFRA	FGF19	0.8435102388865442	
HCAR3	NMS	0.8407682499807351	
CYP2D6	rs28371706	0.99	
HCAR2	CCL5	0.8407682499807351	
JAK2	LYN	0.8557783262261931	
HCAR2	RXFP3	0.8354005520686607	
PDGFRA	NCK1	0.8197146809151086	
FGF2	FGF20	0.8711133509521624	
HCAR2	TAS2R20	0.8354005520686607	
ERBB4	PIK3CA	0.8670221984258657	
ABCB1	rs2235047	0.99	
MET	IL2RB	0.8281207788973212	
KIT	PIK3R2	0.8281207788973212	
JAK3	CSF2	0.8281207788973212	
FGFR3	GFRA1	0.8281207788973212	
P2RY12	NPBWR2	0.8354005520686607	
EGFR	AP2S1	0.8664242982340606	
FGF1	ERLIN2	0.855009540709891	
FGFR3	PDGFRB	0.8435102388865442	
ABCB1	rs12720067	0.99	
HCAR3	DRD4	0.8354005520686607	
EGFR	SHC3	0.8372883840480309	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	HPX	0.8638247395845513	
CYP2C9	rs28371686	0.99	
CYP2D6	CYP2D6*1, CYP2D6*10, CYP2D6*1xN, CYP2D6*2, CYP2D6*2xN, CYP2D6*3, CYP2D6*4, CYP2D6*5, CYP2D6*6	0.99	
rs4987161	CYP3A	0.9414801494009999	
EGFR	PACSIN2	0.863443159858049	
HCAR2	SSTR4	0.8354005520686607	
ERBB2	FGFR1	0.855946747881349	
CYP3A4	rs56324128	0.9135172474836407	
HCAR3	GNG2	0.8526462282435747	
P2RY12	PNOC	0.8407682499807351	
MET	CAMK2B	0.8281207788973212	
PTK6	AKT1	0.8375121078883685	
EGFR	LDLRAP1	0.8628338709774962	
HCAR2	CNR2	0.8354005520686607	
VEGFA	CDC42	0.8483182916706136	
FGF1	CBL	0.8567933402497073	
rs6759892	UGT1A10	0.9414801494009999	
PDGFRB	FGF6	0.8610963123912945	
JAK1	IFNA10	0.8622496297868503	
JAK1	IL2RB	0.865097443947573	
ERBB4	FGFR1	0.853898073011433	
JAK1	SOCS3	0.8291264963011837	
ERBB2	FGF23	0.8655209368590407	
FGF2	NRG2	0.8638403979636339	
JAK1	IFNA2	0.8622496297868503	
ERBB2	GAB1	0.8634947893135166	
EGFR	FYN	0.8513157657742707	
FGF2	MET	0.8643329280224298	
P2RY12	TAS2R16	0.8354005520686607	
PDGFRA	FGF5	0.8610963123912945	
PDGFRA	ERBB4	0.847975029345742	
CYP3A4	rs2242480	0.8775210229989678	
HCAR2	PYY	0.833320481754769	
MET	IL3	0.8281207788973212	
HCAR3	TAS2R45	0.8354005520686607	
P2RY12	GRM8	0.8252219011119977	
FCGR3A	IGKV2-30	0.8631759289499149	
JAK1	IFNAR1	0.8634258189159196	
APOC1	rs7412	0.8214887322023668	
HCAR3	CXCR4	0.8354005520686607	
Niacin	SLC16A1	1	
EGFR	PIK3CB	0.8372883840480309	
FCGR3A	IGHG2	0.8614909610942352	
EGFR	FGFR3	0.857607030791991	
EGFR	RPS27A	0.8665736784466054	
HCAR3	GABBR2	0.8252219011119977	
MET	RASGRF2	0.8281207788973212	
JAK2	CRLF1	0.8248354829013484	
MET	KRAS	0.8576524009695105	
Trastuzumab	C1QB	1	
FGF2	HGF	0.8643329280224298	
FGF1	BTC	0.8651659866513213	
EGFR	GRIN2D	0.8435102388865442	
MET	HRAS	0.8576524009695105	
MET	CAMK2D	0.8281207788973212	
FGFR3	HBEGF	0.855946747881349	
FCGR3A	V2-19	0.8631759289499149	
P2RY12	RLN3	0.8459813396079446	
CYP2C19	rs12248560	0.99	
CYP2C9	rs10509680	0.99	
P2RY12	S1PR1	0.8252219011119977	
HCAR2	CXCR6	0.8354005520686607	
FGFR3	KL	0.8513157657742707	
FGFR3	IRS2	0.8435102388865442	
MET	FGF10	0.857607030791991	
HCAR2	GALR1	0.8252219011119977	
FGF2	IL5	0.853898073011433	
EGFR	FRS3	0.853898073011433	
FCGR2A	IGKV1-16	0.8622716890165686	
PTK6	EREG	0.8633557898536034	
CYP2C19	CYP2C19*1, CYP2C19*2, CYP2C19*3, CYP2C19*5, CYP2C19*6, CYP2C19*7, CYP2C19*8	0.99	
EGFR	IL3	0.8435102388865442	
HCAR3	GPR18	0.8354005520686607	
FGF1	CAMK2D	0.853898073011433	
HCAR3	TAS2R1	0.8354005520686607	
FCGR3A	V1-9	0.8631759289499149	
EGFR	ERBB3	0.8690931465161327	
P2RY12	PYY	0.833320481754769	
CYP3A4	CYP3A4*1, CYP3A4*1G	0.99	
PIK3CA	rs870995	0.8595395962867226	
Niacin	HCAR2	1	
HCAR2	SUCNR1	0.8354005520686607	
UGT1A7	rs6759892	0.8775210229989678	
ERBB4	CSF2	0.8281207788973212	
FCGR3A	IGKC	0.8631759289499149	
P2RY12	OPRK1	0.8354005520686607	
KIT	EREG	0.847975029345742	
SLCO1B1	SLCO1B1*12, SLCO1B1*13, SLCO1B1*1A	0.99	
CYP2D6	CYP2D6*1, CYP2D6*3, CYP2D6*36, CYP2D6*4, CYP2D6*40, CYP2D6*42, CYP2D6*4xN, CYP2D6*56	0.99	
FGF2	IL5RA	0.853898073011433	
ABCG2	rs2199939	0.99	
JAK1	TYK2	0.8667702798833444	
ERBB2	PLXNB1	0.8310189406311155	
EGFR	NECAP1	0.8658049874828022	
FCGR1A	VAV1	0.8468891025876341	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	DERL1	0.8638247395845513	
FGF2	RASGRP1	0.8513157657742707	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	ATM	0.8638247395845513	
Crizotinib	CYP2B6	1	
ERBB2	FGF1	0.8655209368590407	
PDGFRA	SOS1	0.8678174247689815	
P2RY12	SSTR4	0.8354005520686607	
P2RY12	ADORA3	0.8354005520686607	
EGFR	GFRA2	0.847975029345742	
ERBB4	FGF18	0.8632846785253419	
FGF2	KRAS	0.8680533572816113	
FCGR3A	IGHV4-39	0.8631759289499149	
PDGFRA	FGFR3	0.8435102388865442	
PDGFRA	FGF20	0.8638403979636339	
CYP2D6	rs76088846	0.99	
FCGR1A	IGHV7-81	0.8622716890165686	
P2RY12	GABBR2	0.8252219011119977	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	KLK3	0.8638247395845513	
FGF2	FGF3	0.8704901863393477	
JAK3	INPPL1	0.7989062580087279	
HCAR2	GALR2	0.8252219011119977	
CYP3A4	rs2740574	0.99	
FGF2	FGF5	0.8709141188364902	
FCGR1A	IGLV1-44	0.8622716890165686	
Lapatinib	CYP3A4	1	
KIT	HBEGF	0.8513157657742707	
JAK2	CSF2RA	0.865097443947573	
Clopidogrel	CES1	1	
FGF2	RASGEF1A	0.8513157657742707	
FGF1	SPTBN4	0.853898073011433	
P2RY12	DRD4	0.8354005520686607	
HCAR3	NPBWR2	0.8354005520686607	
EGFR	ERBB2	0.8699581403276919	
HCAR2	TAS2R31	0.8354005520686607	
UGT1A1	rs10929302	0.9509900498999999	
CYP2C19	rs4986893	0.99	
EGFR	GFRA1	0.847975029345742	
FGF1	PDGFA	0.8638403979636339	
KDR	PTK2B	0.8549476386052599	
CYP3A4	rs28371759	0.8775210229989678	
FCGR1A	V3-4	0.8622716890165686	
ERBB4	KITLG	0.847975029345742	
HCAR3	SSTR3	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	PCED1B	0.8638247395845513	
P2RY12	C5AR1	0.8354005520686607	
FCGR2A	V3-2	0.8622716890165686	
P2RY12	CCL19	0.8407682499807351	
HCAR2	MCHR1	0.8354005520686607	
ABCG2	rs17731538	0.99	
EGFR	PDGFB	0.853898073011433	
PDGFRB	CRKL	0.8319100629186602	
VEGFA	PIK3R1	0.8468891025876341	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CFB	0.8638247395845513	
KIT	FGF10	0.855946747881349	
UGT1A1	rs1042640	0.9135172474836407	
P2RY12	APP	0.8407682499807351	
FGF1	JAK2	0.853898073011433	
FGF1	UBC	0.8496066018949794	
CYP3A5	rs776746	0.99	
EGFR	rs712830	0.99	
EGFR	TF	0.8628338709774962	
EGFR	FGF5	0.8643329280224298	
ERBB4	PDGFRB	0.847975029345742	
ABCG2	rs7699188	0.99	
P2RY12	CCR9	0.8354005520686607	
P2RY12	NMS	0.8407682499807351	
HCAR2	PMCH	0.8407682499807351	
HCAR3	CCL28	0.8407682499807351	
ABCB1	rs1922242	0.99	
FGF1	UBA52	0.8496066018949794	
FGF1	MAPK1	0.8480904465605648	
JAK2	SH2B1	0.8525676751757928	
P2RY12	CXCL2	0.8407682499807351	
HCAR3	TAS2R7	0.8354005520686607	
KIT	FGF16	0.8610963123912945	
JAK1	IL5RA	0.8281207788973212	
PDGFRB	GRB2	0.8688939580810102	
PDGFRA	FRS2	0.8610963123912945	
CYP3A4	rs28371759	0.9509900498999999	
MTOR	RPTOR	0.8604348349433831	
HCAR2	TAS2R39	0.8354005520686607	
FCGR2A	IGHV2-70	0.8622716890165686	
ABCG2	rs3114020	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	DICER1	0.8638247395845513	
ERBB2	IL3RA	0.8281207788973212	
FCGR2A	IGLV3-25	0.8622716890165686	
FGF2	MAPK1	0.8480904465605648	
FCGR1A	IGLV3-21	0.8622716890165686	
HCAR3	NPY5R	0.8252219011119977	
HCAR3	HRH4	0.8354005520686607	
P2RY12	TAS2R41	0.8354005520686607	
EGFR	FGFR2	0.857607030791991	
ERBB2	PIK3R1	0.8674612613382413	
UGT1A1	UGT1A1*1, UGT1A1*28	0.8775210229989678	
JAK1	STAT6	0.8496066018949794	
HCAR3	APP	0.8407682499807351	
CYP2B6	rs4802101	0.99	
UGT1A1	rs1042640	0.99	
FCGR1A	IGKV3-15	0.8622716890165686	
FGF2	CSF2RA	0.853898073011433	
FCGR3A	IGLV1-40	0.8631759289499149	
ERBB2	PDGFB	0.8513157657742707	
FCGR2A	ELMO1	0.7983096722548423	
ERBB2	ERBB2	0.869849062131278	
FCGR3A	VAV2	0.8468891025876341	
HCAR2	PNOC	0.8407682499807351	
PDGFRB	KL	0.8435102388865442	
CYP2C19	rs4244285	0.99	
P2RY12	TAS2R43	0.8354005520686607	
MET	KL	0.847975029345742	
EGFR	VAMP8	0.8628338709774962	
KIT	JAK2	0.8568934182658772	
Sirolimus	MTOR	1	
JAK1	IFNGR1	0.8593451483108672	
KIT	LYN	0.8639651892799458	
UGT1A6	rs4261716	0.8775210229989678	
SLC47A1	rs2252281	0.99	
MET	LRIG1	0.8310189406311155	
EGFR	KIT	0.853898073011433	
MET	FGF5	0.8619307007599862	
IFNGR2	JAK2	0.8583852361794637	
ERBB2	GFRA4	0.8372883840480309	
MET	ERBB4	0.8513157657742707	
UGT1A6	UGT1A6*2a	0.8775210229989678	
FGF1	LCK	0.8513157657742707	
EGFR	AGFG1	0.8628338709774962	
KIT	FGF19	0.8435102388865442	
PDGFRA	PIK3CA	0.8656414349454913	
FGF2	NRG1	0.8655209368590407	
EGFR	PTK6	0.865795589821083	
ERBB2	FGF8	0.8655209368590407	
ERBB4	RASGRF1	0.8281207788973212	
ERBB4	ERBB2	0.8697812988030533	
EGFR	PTPN11	0.8620006694119313	
P2RY12	LPAR5	0.8252219011119977	
FCGR3A	CD3G	0.8595571341704282	
CYP3A5	rs41303343	0.99	
HCAR3	CCR3	0.8354005520686607	
rs8330	UGT1A9	0.8687458127689781	
EGFR	IL2RG	0.8435102388865442	
PDGFRB	NCK1	0.8197146809151086	
HCAR3	APLN	0.8407682499807351	
FCGR3A	RAC1	0.852724204446584	
EGFR	GFRA4	0.847975029345742	
PTK6	ARHGAP35	0.8448687443032323	
FGF2	RASGRF1	0.853898073011433	
SLCO1B1	rs4149056	0.99	
P2RY12	CXCR3	0.8354005520686607	
FGF2	CSF2	0.853898073011433	
FGF1	FYN	0.8632846785253419	
FGF1	KITLG	0.8638403979636339	
UGT1A9	rs58597806	0.9509900498999999	
ERBB2	ERBB4	0.8697812988030533	
HCAR2	P2RY12	0.8354005520686607	
FGF2	UBB	0.8496066018949794	
FCGR2A	P0CG05	0.8622716890165686	
FCGR2A	V1-5	0.8622716890165686	
JAK1	IFNG	0.860343039361049	
FCGR3A	P0CG06	0.8631759289499149	
CYP3A4	CYP3A4*1, CYP3A4*1G	0.9509900498999999	
HCAR3	GRM8	0.8252219011119977	
CYP2B6	rs3745274	0.99	
ERBB2	DLG4	0.8281207788973212	
FGF2	RET	0.855946747881349	
PDGFRB	SOS1	0.8678174247689815	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	ZNF232	0.8638247395845513	
HCAR2	GPER1	0.8354005520686607	
HCAR3	C3	0.8407682499807351	
HCAR3	LPAR3	0.8252219011119977	
HCAR2	TAS2R45	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	KIAA1551	0.8638247395845513	
ITK	ITK	0.8407682499807351	
EGFR	rs121434569	0.99	
HCAR3	S1PR5	0.8252219011119977	
EGFR	ERBB4	0.8693683183476757	
FGF1	GFRA2	0.855946747881349	
CYP3A4	CYP3A4*1, CYP3A4*1G	0.9135172474836407	
NRAS	rs1065634	0.8515537840531022	
FGF2	SPTBN2	0.853898073011433	
HCAR3	C5AR1	0.8354005520686607	
EGFR	NRG1	0.8697543949905541	
FMO1	rs7877	0.99	
P2RY12	CXCL6	0.8459813396079446	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	PDZRN4	0.8638247395845513	
EGFR	RASGEF1A	0.8372883840480309	
EGFR	LRP2	0.8628338709774962	
FGF1	FGF5	0.8709722662956106	
PDGFRB	HRAS	0.852724204446584	
ITGA2	rs1062535	0.8551864921887058	
FGF2	CAMK2D	0.853898073011433	
EGFR	SLC2A8	0.8628338709774962	
KIT	ERBB2	0.8513157657742707	
ERBB2	NRAS	0.8611234767592315	
JAK1	SHC1	0.8643188307528107	
HCAR3	CXCL10	0.8407682499807351	
HCAR3	CXCL2	0.8407682499807351	
FCGR1A	IGHV3-9	0.8622716890165686	
P2RY12	CXCL5	0.8407682499807351	
P2RY12	NPY2R	0.8252219011119977	
CYP2C9	CYP2C9*1, CYP2C9*59	0.99	
ABCB1	rs9282564	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	TRAPPC11	0.8638247395845513	
Interferon Gamma-1b	IFNGR1	1	
CYP19A1	rs7176005	0.99	
FCGR2A	V2-19	0.8622716890165686	
ERBB2	ERBB3	0.8695069661438609	
ERBB2	KLB	0.855946747881349	
ABCB1	ABCB1*1, ABCB1*2(PMID:11503014)	0.99	
FCGR1A	IGKV2D-40	0.8622716890165686	
Vandetanib	FMO3	1	
VEGFA	RHOA	0.8252219011119977	
EGFR	IL5	0.8435102388865442	
IFNGR1	IFNGR2	0.8595222608249842	
FCGR3A	IGHV3-13	0.8631759289499149	
UGT1A	rs8330	0.9320653479069899	
CYP19A1	rs4775936	0.99	
HCAR2	ADRA2A	0.8252219011119977	
KIT	NRAS	0.855009540709891	
ERBB2	UBC	0.8400074412835329	
FGF1	SPTA1	0.853898073011433	
FCGR1A	IGLV2-8	0.8622716890165686	
EGFR	PTPN18	0.842023951637581	
rs8330	UGT1A	0.8687458127689781	
CYP3A4	MGST1	0.792109822701367	
KIT	FGFR1	0.8435102388865442	
PDGFRA	PDGFA	0.8684125060861475	
ERBB4	KL	0.853898073011433	
ERBB2	FGF7	0.855946747881349	
FCGR3A	IGKV4-1	0.8631759289499149	
KIT	GRB7	0.7989062580087279	
CYP2D6	CYP2D6*20, CYP2D6*4	0.99	
EGFR	SPTAN1	0.8435102388865442	
P2RY12	CXCL11	0.8407682499807351	
PTK6	NRG1	0.8633557898536034	
EGFR	NRAS	0.8667770469385163	
P2RY12	OPRD1	0.8354005520686607	
VEGFA	PAK2	0.8531802811033484	
CYP2D6	CYP2D6*1, CYP2D6*10, CYP2D6*17, CYP2D6*1xN, CYP2D6*2, CYP2D6*2xN, CYP2D6*3, CYP2D6*4, CYP2D6*40, CYP2D6*41, CYP2D6*5, CYP2D6*6	0.99	
FGF2	PDGFA	0.8638403979636339	
EGFR	SLC18A3	0.8628338709774962	
FCGR2A	V3-3	0.8622716890165686	
CYP3A4	rs12721627	0.8775210229989678	
EGFR	SYNJ2	0.8613363396709319	
FCGR3A	IGHV1-46	0.8631759289499149	
P2RY12	NMUR1	0.8354005520686607	
EGFR	KRAS	0.8667770469385163	
ERBB4	FGF3	0.8601235081501506	
EGFR	SCARB2	0.8628338709774962	
JAK1	IFNA16	0.8622496297868503	
UGT1A1	UGT1A1*1, UGT1A1*28	0.9509900498999999	
HCAR3	TAS2R4	0.8354005520686607	
ALB	complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	0.954526206676	
Crizotinib	ABCB1	1	
CYP2C9	CYP2C9*1, CYP2C9*13, CYP2C9*3	0.99	
P2RY12	TAS2R19	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	BBC3	0.8638247395845513	
PDGFRB	FGFR4	0.8435102388865442	
HCAR3	SUCNR1	0.8354005520686607	
FCGR3A	IGHV2-70	0.8631759289499149	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	PRSS3	0.8638247395845513	
FCGR3A	IGKV5-2	0.8631759289499149	
P2RY12	CCL28	0.8407682499807351	
FCGR3A	IGKV1-33	0.8631759289499149	
HCAR2	HTR1E	0.8354005520686607	
Trastuzumab	FCGR1A	1	
P2RY12	S1PR2	0.8252219011119977	
P2RY12	P2RY14	0.8354005520686607	
HCAR3	TAS2R41	0.8354005520686607	
HCAR3	PPY	0.833320481754769	
UGT1A1	rs8330	0.8775210229989678	
P2RY12	TAS2R9	0.8354005520686607	
HCAR2	TAS2R30	0.8354005520686607	
FGF1	CSF2RA	0.853898073011433	
FCGR2A	IGLV1-44	0.8622716890165686	
MET	FGF18	0.8619307007599862	
CYP2C9	rs12782374	0.99	
CYP3A4	rs4986910	0.9135172474836407	
PDGFRA	FGF17	0.8638403979636339	
rs2070959	UGT1A10	0.8863848717161291	
FGF2	FGFR4	0.8694788835721461	
FCGR3A	IGKV1-39	0.8631759289499149	
FCGR1A	IGHV1-46	0.8622716890165686	
CYP2B6	rs12721646	0.99	
ERBB4	PSPN	0.8372883840480309	
JAK2	PRL	0.855009540709891	
C1S	C1R	0.8405811189288911	
FGF2	NCAM1	0.853898073011433	
FGF2	GRIN2B	0.853898073011433	
UGT1A1	rs10929302	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	TSC22D1	0.8638247395845513	
Trastuzumab	C1S	1	
CYP3A4	rs4646440	0.9135172474836407	
EGFR	IRS1	0.853898073011433	
EGFR	REPS2	0.8629698029978776	
HCAR2	CCL27	0.8407682499807351	
FGFR3	ARTN	0.8281207788973212	
SLCO1B1	rs2306283	0.99	
FGF2	NEFL	0.853898073011433	
P2RY12	GNG2	0.8632667287580127	
FCGR1A	IGKV2D-30	0.8622716890165686	
CYP2B6	rs4803419	0.99	
ABCC1	rs35592	0.99	
HCAR3	SSTR4	0.8354005520686607	
IFNGR2	IFNGR1	0.8595222608249842	
MTOR	PRKAA1	0.849809014912932	
ERBB4	GRIN2C	0.8281207788973212	
JAK2	IL5RA	0.865097443947573	
ABCB1	rs2235067	0.99	
FGFR3	NRG2	0.8435102388865442	
Crizotinib	CYP3A4	1	
HCAR3	CXCL3	0.8407682499807351	
FGF2	GFRA1	0.855946747881349	
CYP3A4	rs2740574	0.9509900498999999	
EGFR	SHC2	0.8372883840480309	
CYP2D6	CYP2D6*1, CYP2D6*15, CYP2D6*4	0.99	
ERBB4	KLB	0.853898073011433	
CYP3A4	CYP3A4*1, CYP3A4*20, CYP3A4*8	0.9509900498999999	
EGFR	KLB	0.857607030791991	
SLCO1B1	rs4149036	0.99	
FGF2	RAPGEF2	0.8513157657742707	
CYP2C19	rs28399504	0.99	
JAK2	INPPL1	0.7989062580087279	
VEGFA	ROCK2	0.8252219011119977	
FGF1	FGFR4	0.8694788835721461	
JAK1	IL6ST	0.855946747881349	
EGFR	ACTN2	0.8435102388865442	
ERBB2	KRAS	0.8611234767592315	
EGFR	HGF	0.855946747881349	
FCGR1A	IGHV3-30	0.8622716890165686	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	QTRTD1	0.8638247395845513	
HCAR2	S1PR5	0.8252219011119977	
CYP2D6	rs367543000	0.99	
C1S	C1QC	0.8396144291374222	
FCGR3A	IGLV3-21	0.8631759289499149	
CYP2D6	CYP2D6*1, CYP2D6*3, CYP2D6*4, CYP2D6*5	0.99	
CYP2C9	rs72558187	0.99	
JAK1	IFNA17	0.8622496297868503	
P2RY12	HTR1A	0.8354005520686607	
FGFR3	NRG1	0.855946747881349	
ERBB2	ERBIN	0.8375121078883685	
PDGFRB	FGFR3	0.8435102388865442	
HCAR3	CNR2	0.8354005520686607	
PDGFRA	ERBB2	0.8513157657742707	
P2RY12	GNAI1	0.8632667287580127	
Pazopanib	ITK	1	
HCAR2	CXCR1	0.8354005520686607	
UGT1A9	rs2003569	0.9509900498999999	
MET	HGF	0.8694468993843226	
FGF2	FGF4	0.8710944861307965	
FGF1	RASGEF1A	0.8513157657742707	
JAK2	IRS2	0.850491991613676	
HCAR3	TAS2R46	0.8354005520686607	
UGT1A9	rs34993780	0.8953382542587163	
EGFR	UBC	0.8665736784466054	
PTK6	BTC	0.8633557898536034	
Sirolimus	CYP3A4	1	
FCGR2A	V3-4	0.8622716890165686	
ERBB4	FGF7	0.853898073011433	
KDR	rs34231037	0.99	
FCGR3A	V3-2	0.8631759289499149	
FGF1	SOS1	0.8698922095722557	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	APOC1	0.8638247395845513	
P2RY12	OXGR1	0.8354005520686607	
ERBB4	ERBB4	0.8699469482981727	
PDGFRB	EREG	0.847975029345742	
JAK2	IL2RB	0.8281207788973212	
UGT1A9	rs35350960	0.8953382542587163	
CYP2D6	CYP2D6*1, CYP2D6*10, CYP2D6*1xN, CYP2D6*2, CYP2D6*2xN, CYP2D6*3, CYP2D6*4, CYP2D6*41, CYP2D6*5, CYP2D6*6	0.99	
ERBB2	ICOS	0.8281207788973212	
HCAR2	TAS2R38	0.8354005520686607	
FMO1	rs12720462	0.99	
FGF2	ARTN	0.855946747881349	
PDGFRB	PDGFB	0.8694436545752403	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CST3	0.8638247395845513	
FCGR3A	IGLV2-14	0.8631759289499149	
FCGR3A	IGLV2-8	0.8631759289499149	
EGFR	FGF17	0.8658423074095727	
HCAR3	OPRK1	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	JARID2	0.8638247395845513	
VEGFA	ITGAV	0.8557214641066988	
Interferon Gamma-1b	IFNGR2	1	
CYP3A4	rs2246709	0.9509900498999999	
CYP2B6	CYP2B6*1, CYP2B6*6	0.99	
FCGR2A	IGKV1-12	0.8622716890165686	
EGFR	EREG	0.8693683183476757	
KIT	PTPN11	0.8586276307522482	
FCGR2A	IGHV4-39	0.8622716890165686	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	refseq:NP_001914	0.8638247395845513	
PDGFRA	FGF2	0.8638403979636339	
KIT	FGF18	0.8610963123912945	
EGFR	PIK3R1	0.8687862016101843	
Niacin	NNMT	1	
EGFR	ARPC1A	0.8628338709774962	
ERBB2	IL5RA	0.8281207788973212	
MET	GDNF	0.8372883840480309	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	PDE4B	0.8638247395845513	
CES1	rs71647872	0.99	
FGF1	RANBP9	0.853898073011433	
FCGR1A	IGKV1D-39	0.8622716890165686	
P2RY12	CASR	0.8354005520686607	
JAK1	CLCF1	0.8248354829013484	
FGF2	IL2RA	0.853898073011433	
FGFR3	KRAS	0.8590143683516748	
UGT1A9	rs35350960	0.9509900498999999	
CYP2C8	CYP2C8*1A, CYP2C8*2, CYP2C8*3	0.99	
PDGFRA	GRB7	0.8197146809151086	
FCGR3A	IGKV	0.8631759289499149	
ERBB4	FRS2	0.8632846785253419	
FCGR3A	IGLV1-51	0.8631759289499149	
PDGFRA	FGF16	0.8610963123912945	
FCGR1A	IGHV1-2	0.8622716890165686	
HCAR2	ADORA1	0.8354005520686607	
CYP3A4	rs56324128	0.8775210229989678	
HCAR2	TAS2R3	0.8354005520686607	
VEGFA	rs144854329	0.99	
CYP3A4	CYP3A4*1, CYP3A4*22	0.9509900498999999	
P2RY12	TAS2R50	0.8354005520686607	
JAK3	IL7	0.8468891025876341	
ERBB4	NRG1	0.869881322850128	
HCAR3	HTR1D	0.8354005520686607	
FCGR1A	IGHG2	0.8614909610942352	
HCAR2	OPRD1	0.8354005520686607	
ERBB4	PTK6	0.8633557898536034	
FCGR2A	IGKV4-1	0.8622716890165686	
HCAR3	S1PR3	0.8252219011119977	
KDR	ITGB3	0.8557214641066988	
VEGFA	SRC	0.8684977548176123	
ERBB4	GRIN2A	0.8281207788973212	
P2RY12	CXCL13	0.8407682499807351	
UGT1A6	rs1105879	0.8775210229989678	
MET	FGF17	0.8643329280224298	
PDGFRA	FGF6	0.8610963123912945	
SLCO1B1	SLCO1B1*15, SLCO1B1*1B	0.99	
CYP2B6	rs2279343	0.99	
P2RY12	RXFP4	0.8354005520686607	
HCAR2	PENK	0.8407682499807351	
HCAR3	HEBP1	0.8407682499807351	
C1QC	C1S	0.8396144291374222	
ERBB2	PSPN	0.8372883840480309	
VEGFA	rs3025039	0.99	
EGFR	FGF18	0.8643329280224298	
ERBB4	HRAS	0.860155337427376	
Niacin	SLCO2B1	1	
TAP1	TAPBP	0.8414971201616808	
PDGFRB	ERBB4	0.847975029345742	
ABCB1	rs3213619	0.99	
HCAR2	TAS2R7	0.8354005520686607	
EGFR	PSPN	0.847975029345742	
EGFR	CAMK2B	0.8435102388865442	
UGT1A10	rs2070959	0.9320653479069899	
EGFR	ADRB2	0.863443159858049	
rs6759892	UGT1A10	0.8687458127689781	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SPAST	0.8638247395845513	
P2RY12	OXER1	0.8252219011119977	
FCGR3A	ELMO1	0.7983096722548423	
ERBB4	FGF17	0.8651659866513213	
FGF1	PDGFRB	0.8638403979636339	
EGFR	FGFR4	0.857607030791991	
HCAR2	CXCL13	0.8407682499807351	
FCGR1A	V5-4	0.8622716890165686	
CYP3A4	rs4646437	0.99	
HCAR3	NPY2R	0.8252219011119977	
rs6759892	UGT1A8	0.9414801494009999	
FCGR2A	IGLV1-47	0.8622716890165686	
HCAR3	NPY1R	0.8252219011119977	
P2RY12	SUCNR1	0.8354005520686607	
