B2M	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
RHOA	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
SCARB2	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
APOE	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
PAK1	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
PTGS2	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
CYP2C9	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
REN	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
OCRL	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
CD2AP	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
AGTR1	Proteinuria Adverse Event	
FABP2	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
VEGFA	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
MTHFR	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
PTPN22	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
INS	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
NPHS1	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
AGT	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
ALB	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
FGA	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
ACE	Proteinuria Adverse Event	
HP	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
FN1	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
NCK2	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
CYP2C9	Proteinuria Adverse Event	
HLA-DRB1	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
NCK1	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
LRP2	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
POMC	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
AGTR1	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
CD80	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
CTSL	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
HLA-DPB1	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
INSR	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
MTHFR	Proteinuria Adverse Event	
NPHS1	Proteinuria Adverse Event	
CFH	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
PAK2	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
ACE	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
SAA1	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
AGT	Proteinuria Adverse Event	
APOA1	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
RET	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
PPARA	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
HLA-DQA1	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SLC9A8	0.8638247395845513	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	THRAP3	0.818984274335209	
ABCB1	rs17160359	0.99	
AGTR1	APP	0.8407682499807351	
IKBKB	TRAF6	0.8649683315138701	
UGT1A7	rs7586110	0.8775210229989678	
VEGFA	rs2010963	0.99	
AGTR1	TACR2	0.8252219011119977	
CYP2D6	CYP2D6*1, CYP2D6*10, CYP2D6*17, CYP2D6*1xN, CYP2D6*2, CYP2D6*2xN, CYP2D6*3, CYP2D6*4, CYP2D6*41, CYP2D6*5	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CROT	0.818984274335209	
RXRA	MED30	0.7989062580087279	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	RYR2	0.8638247395845513	
Acitretin	RXRA	1	
Benazepril	MTHFR	1	
CFTR	CTTN	0.8628338709774962	
PTK6	KHDRBS1	0.8392126544448786	
AGTR1	GHSR	0.8354005520686607	
UGT1A1	rs887829	0.8600583546412883	
SRC	CSK	0.8534010044745616	
STAT5B	KITLG	0.8396144291374222	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CTSL	0.8638247395845513	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	KLK3	0.818984274335209	
CYP3A4	rs2740574	0.9135172474836407	
ABCB1	rs2032582	0.99	
CFTR	FZD4	0.863443159858049	
CYP1A2	rs2069514	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	APOE	0.8638247395845513	
PDGFRB	PDGFRB	0.8678042356150584	
FYN	TYROBP	0.8516636985739204	
KIT	FGF20	0.8638403979636339	
ABCC4	rs3742106	0.99	
ACE	rs4646994	0.99	
PDGFRB	FGF7	0.8435102388865442	
CFTR	rs77010898	0.99	
LCK	PIK3R1	0.8668895482508605	
rs8330	UGT1A9	0.96059601	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	PPBP	0.8638247395845513	
FYN	SPTB	0.857186514138311	
CYP2D6	rs28371706	0.99	
PTGS1	rs10306135	0.99	
SRC	PTK2	0.8696919220006938	
YES1	NGEF	0.8351516051398434	
ABCB1	rs2235047	0.99	
KIT	PIK3R2	0.8281207788973212	
UGT1A7	rs17863778	0.9702989999999999	
EGFR	AP2S1	0.8664242982340606	
ABCB1	rs12720067	0.99	
EGFR	SHC3	0.8372883840480309	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	HPX	0.8638247395845513	
IKBKB	MAP3K7	0.8594519690919569	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	OR3A2	0.818984274335209	
CYP2C9	rs28371686	0.99	
UGT1A9	rs35350960	0.99	
AGTR1	F2RL1	0.8252219011119977	
YES1	EPHB6	0.8591633312389747	
IKBKB	TAB3	0.8520838925573979	
CYP2D6	CYP2D6*1, CYP2D6*10, CYP2D6*1xN, CYP2D6*2, CYP2D6*2xN, CYP2D6*3, CYP2D6*4, CYP2D6*5, CYP2D6*6	0.99	
rs4987161	CYP3A	0.9414801494009999	
Naproxen	CYP2C8	1	
EGFR	PACSIN2	0.863443159858049	
AGTR1	KNG1	0.8459813396079446	
CYP3A4	rs56324128	0.9135172474836407	
ACE	AGT	0.8580060915991022	
PTK6	AKT1	0.8375121078883685	
EGFR	LDLRAP1	0.8628338709774962	
VEGFA	CDC42	0.8483182916706136	
rs6759892	UGT1A10	0.9414801494009999	
PDGFRB	FGF6	0.8610963123912945	
STAT5B	STAT5A	0.8637281740837501	
CFTR	CLTA	0.865738626524793	
CFTR	rs121909005	0.99	
UGT1A6	rs1105879	0.9135172474836407	
FYN	HRAS	0.855009540709891	
UGT1A7	rs17863778	0.9509900498999999	
SRC	BCAR1	0.8614909610942352	
Piroxicam	SLC22A8	1	
EGFR	FYN	0.8513157657742707	
FYN	EPHA10	0.8566409204013108	
CYP3A4	rs2242480	0.8775210229989678	
MMP2	MMP1	0.833320481754769	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	FAM71E2	0.818984274335209	
Indomethacin	ABCC3	1	
FYN	EFNA2	0.8582609785019573	
APOC1	rs7412	0.8214887322023668	
PRDX5	TXN	0.8219632471359692	
AGTR1	GAST	0.8407682499807351	
EGFR	PIK3CB	0.8372883840480309	
MTHFR	rs4846051	0.99	
EGFR	FGFR3	0.857607030791991	
SRC	EPHB6	0.866499965431577	
EGFR	RPS27A	0.8665736784466054	
Dasatinib	EPHA2	1	
EPHA2	EPHA4	0.8520838925573979	
UGT1A8	rs1042597	0.9702989999999999	
EGFR	GRIN2D	0.8435102388865442	
CFTR	ARPC1A	0.8628338709774962	
rs6759892	UGT1A6	0.9801	
CYP2C19	rs12248560	0.99	
CFTR	RPS27A	0.8658608065151423	
CYP2C9	rs10509680	0.99	
FYN	JAK2	0.855071032805086	
CFTR	CD4	0.8621379174857935	
Oxcarbazepine	CYP3A4	1	
SRC	APBB1IP	0.8664849906990981	
FYN	FGF10	0.853898073011433	
CFTR	FCHO1	0.8541713484689148	
IKBKB	MAP3K8	0.849809014912932	
SRC	EPHA7	0.8566409204013108	
LCK	PDCD1	0.8448687443032323	
LCK	CD247	0.8637443836010867	
EGFR	FRS3	0.853898073011433	
SRC	ROCK2	0.8421959353175904	
PTK6	EREG	0.8633557898536034	
CYP2C19	CYP2C19*1, CYP2C19*2, CYP2C19*3, CYP2C19*5, CYP2C19*6, CYP2C19*7, CYP2C19*8	0.99	
UGT1A1	rs4124874	0.9320653479069899	
EGFR	IL3	0.8435102388865442	
Ibuprofen	CYP2C8	1	
CFTR	rs78655421	0.99	
SRC	ITGA2B	0.866126040913791	
UGT1A6	rs4261716	0.9320653479069899	
EGFR	ERBB3	0.8690931465161327	
CYP3A4	CYP3A4*1, CYP3A4*1G	0.99	
PIK3CA	rs870995	0.8595395962867226	
UGT1A7	rs6759892	0.8775210229989678	
AGTR1	TACR1	0.8252219011119977	
KIT	EREG	0.847975029345742	
UGT1A9	rs2003569	0.9135172474836407	
UGT1A9	rs58597806	0.99	
SLCO1B1	SLCO1B1*12, SLCO1B1*13, SLCO1B1*1A	0.99	
UGT2B7	rs61361928	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	DCD	0.818984274335209	
CYP2D6	CYP2D6*1, CYP2D6*3, CYP2D6*36, CYP2D6*4, CYP2D6*40, CYP2D6*42, CYP2D6*4xN, CYP2D6*56	0.99	
UGT1A7	UGT1A7*3	0.9702989999999999	
PPARD	rs6922548	0.99	
ABCG2	rs2199939	0.99	
FYN	DPYSL5	0.8396144291374222	
LCK	SOS1	0.8590143683516748	
EGFR	NECAP1	0.8658049874828022	
EPHA2	SRC	0.8566409204013108	
Flurbiprofen	PTGS1	1	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	DERL1	0.8638247395845513	
Indomethacin	PLA2G2A	1	
Diflunisal	SLC22A6	1	
YES1	EPHA3	0.8566409204013108	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	ATM	0.8638247395845513	
rs8330	UGT1A	0.92274469442792	
Piroxicam	SLC22A11	1	
EGFR	GFRA2	0.847975029345742	
FYN	FGF6	0.8601235081501506	
RXRA	FABP5	0.8294526363440686	
Diflunisal	PTGS2	1	
CYP2D6	rs76088846	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	KLK3	0.8638247395845513	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	EXOC6	0.818984274335209	
CYP3A4	rs2740574	0.99	
FYN	PIK3CA	0.8681412750896756	
SRC	PDGFB	0.8468891025876341	
KIT	HBEGF	0.8513157657742707	
BCHE	rs28933390	0.99	
EGFR	ERBB2	0.8699581403276919	
UGT1A1	rs10929302	0.9509900498999999	
CYP2C19	rs4986893	0.99	
UGT1A9	rs17868320	0.99	
EGFR	GFRA1	0.847975029345742	
KDR	PTK2B	0.8549476386052599	
SRC	SH2D2A	0.8567933402497072	
RXRB	CRABP2	0.8294526363440686	
CYP3A4	rs28371759	0.8775210229989678	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	PCED1B	0.8638247395845513	
CFTR	ERLEC1	0.8558909648136892	
FYN	EPHA5	0.8566409204013108	
UGT1A9	rs8330	0.9135172474836407	
YES1	RHOA	0.8252219011119977	
CFTR	AP2A2	0.8666098248257992	
ABCG2	rs17731538	0.99	
EGFR	PDGFB	0.853898073011433	
PDGFRB	CRKL	0.8319100629186602	
RXRA	rs1536475	0.99	
VEGFA	PIK3R1	0.8468891025876341	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	KIAA1551	0.818984274335209	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CFB	0.8638247395845513	
PPARA	SMARCD3	0.7989062580087279	
KIT	FGF10	0.855946747881349	
UGT1A1	rs1042640	0.9135172474836407	
ABCC3	rs1051640	0.99	
SRC	FN1	0.8659427526468915	
Etodolac	RXRA	1	
UGT1A9	rs17868320	0.9702989999999999	
EGFR	rs712830	0.99	
CYP3A5	rs776746	0.99	
IKBKB	IFIH1	0.8294526363440686	
EGFR	FGF5	0.8643329280224298	
EGFR	TF	0.8628338709774962	
SRC	NTN1	0.862092560784167	
rs8330	UGT1A	0.8863848717161291	
YES1	EFNB1	0.858976627682086	
Etodolac	PTGS2	1	
UGT1A1	UGT1A1*60	0.9320653479069899	
CFTR	SYNJ2	0.8613363396709319	
Captopril	CYP2D6	1	
UGT1A9	rs6714486	0.9320653479069899	
ABCG2	rs7699188	0.99	
ABCB1	rs1922242	0.99	
rs6759892	UGT1A8	0.9801	
KIT	FGF16	0.8610963123912945	
PDGFRB	GRB2	0.8688939580810102	
CYP3A4	rs28371759	0.9509900498999999	
UGT1A8	rs6431558	0.8953382542587163	
Sulindac	CYP1A2	1	
CFTR	rs121909013	0.99	
ABCG2	rs3114020	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	DICER1	0.8638247395845513	
LCK	PTPN6	0.8441288359160942	
STAT5B	KIT	0.8396144291374222	
Ibuprofen	PTGS2	1	
PPARA	MED1	0.8267126623718162	
SRC	EFNA1	0.8582609785019573	
EGFR	FGFR2	0.857607030791991	
CFTR	APOB	0.8628338709774962	
UGT1A1	UGT1A1*1, UGT1A1*28	0.8775210229989678	
UGT1A1	rs1042640	0.99	
YES1	EFNA2	0.8582609785019573	
MMP2	MMP14	0.8483182916706136	
IKBKB	IKBKB	0.852724204446584	
FYN	EFNA4	0.8582609785019573	
PDPK1	PIK3CG	0.8281207788973212	
PDGFRB	KL	0.8435102388865442	
CYP2C19	rs4244285	0.99	
EGFR	VAMP8	0.8628338709774962	
CFTR	DAB2	0.863443159858049	
STAT5B	STAT5B	0.8631575560288065	
KIT	JAK2	0.8568934182658772	
KIT	LYN	0.8639651892799458	
UGT1A6	rs4261716	0.8775210229989678	
EGFR	KIT	0.853898073011433	
EPHA2	EFNB2	0.8459813396079446	
UGT1A6	UGT1A6*2a	0.8775210229989678	
FYN	FES	0.8509568505095917	
EGFR	AGFG1	0.8628338709774962	
SRC	PIK3CB	0.8319100629186602	
SRC	VAV2	0.8544371783926548	
KIT	FGF19	0.8435102388865442	
IKBKB	UBE2V1	0.8470141168187869	
EGFR	PTK6	0.865795589821083	
EGFR	PTPN11	0.8620006694119313	
AGTR1	PROKR1	0.8354005520686607	
CYP3A5	rs41303343	0.99	
rs8330	UGT1A9	0.8687458127689781	
SRC	RHOA	0.849809014912932	
EGFR	IL2RG	0.8435102388865442	
PDGFRB	NCK1	0.8197146809151086	
PTGS2	TP53	0.826582583512	
EGFR	GFRA4	0.847975029345742	
PTK6	ARHGAP35	0.8448687443032323	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	GSN	0.818984274335209	
SLCO1B1	rs4149056	0.99	
LCK	HLA-DRB4	0.8637443836010867	
UGT1A9	rs58597806	0.9509900498999999	
IKBKB	IKBKG	0.8596606802270689	
FYN	KRAS	0.855009540709891	
LCK	PTPN22	0.8407682499807351	
CYP3A4	CYP3A4*1, CYP3A4*1G	0.9509900498999999	
ACE	REN	0.8435102388865442	
PDPK1	RHOA	0.8294526363440686	
PDGFRB	SOS1	0.8678174247689815	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	ZNF232	0.8638247395845513	
LCK	TRBC1	0.8637443836010867	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	KIAA1551	0.8638247395845513	
EGFR	rs121434569	0.99	
CFTR	CLTB	0.8654065929327814	
Captopril	ABCB1	1	
FYN	CD80	0.8615163260680712	
STAT5B	IL3RA	0.8497082254156562	
PPARG	MED26	0.7989062580087279	
EGFR	ERBB4	0.8693683183476757	
CYP3A4	CYP3A4*1, CYP3A4*1G	0.9135172474836407	
EGFR	NRG1	0.8697543949905541	
Oxcarbazepine	CYP3A5	1	
Dasatinib	CYP1A1	1	
PTGS2	rs20417	0.99	
FMO1	rs7877	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	PDZRN4	0.8638247395845513	
ABL2	ABL1	0.8252219011119977	
UGT1A10	rs6759892	0.9135172474836407	
EGFR	RASGEF1A	0.8372883840480309	
EGFR	LRP2	0.8628338709774962	
YES1	EFNA4	0.8582609785019573	
ITGA2	rs1062535	0.8551864921887058	
PDGFRB	HRAS	0.852724204446584	
rs8330	UGT1A1	0.92274469442792	
LCK	SYK	0.8565377401984524	
EGFR	SLC2A8	0.8628338709774962	
FYN	SPTAN1	0.857186514138311	
KIT	ERBB2	0.8513157657742707	
PPARG	MED27	0.7989062580087279	
UGT1A7	UGT1A7*3	0.9135172474836407	
CYP2C9	CYP2C9*1, CYP2C9*59	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	TRAPPC11	0.8638247395845513	
ABCB1	rs9282564	0.99	
UGT1A9	rs72551330	0.99	
PPARG	MED21	0.7989062580087279	
CFTR	HIP1	0.8628338709774962	
FYN	LAT	0.8617638362337401	
PPARG	MED13L	0.7989062580087279	
ABCB1	ABCB1*1, ABCB1*2(PMID:11503014)	0.99	
Vandetanib	FMO3	1	
VEGFA	RHOA	0.8252219011119977	
SRC	MAPK3	0.8335919503261298	
EGFR	IL5	0.8435102388865442	
UGT1A	rs8330	0.9320653479069899	
EPHA2	EFNA4	0.8600915199930605	
KIT	NRAS	0.855009540709891	
RARA	HIST4H4	0.8438225987934436	
AGTR1	F2RL3	0.8252219011119977	
rs8330	UGT1A	0.8687458127689781	
UGT1A7	rs17868323	0.9135172474836407	
CYP3A4	MGST1	0.792109822701367	
EGFR	PTPN18	0.842023951637581	
SRC	EPHA10	0.8566409204013108	
KIT	FGFR1	0.8435102388865442	
AGTR1	BDKRB2	0.8421959353175904	
KIT	GRB7	0.7989062580087279	
CYP2D6	CYP2D6*20, CYP2D6*4	0.99	
EGFR	SPTAN1	0.8435102388865442	
CFTR	SYT2	0.8628338709774962	
PTK6	NRG1	0.8633557898536034	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SCN5A	0.818984274335209	
AGTR1	UTS2R	0.8354005520686607	
EGFR	NRAS	0.8667770469385163	
UGT1A8	rs1042597	0.9135172474836407	
FYN	FGF5	0.8601235081501506	
SRC	JAK2	0.8499089801634054	
RXRA	NCOA6	0.8356465013999406	
VEGFA	PAK2	0.8531802811033484	
AGTR1	GNA14	0.8595571341704282	
CYP2D6	CYP2D6*1, CYP2D6*10, CYP2D6*17, CYP2D6*1xN, CYP2D6*2, CYP2D6*2xN, CYP2D6*3, CYP2D6*4, CYP2D6*40, CYP2D6*41, CYP2D6*5, CYP2D6*6	0.99	
EGFR	SLC18A3	0.8628338709774962	
CYP3A4	rs12721627	0.8775210229989678	
EGFR	SYNJ2	0.8613363396709319	
rs10929303	UGT1A	0.92274469442792	
UGT1A7	rs17863778	0.9135172474836407	
IKBKB	NFKBIE	0.8086124452583398	
EGFR	KRAS	0.8667770469385163	
EGFR	SCARB2	0.8628338709774962	
UGT1A1	UGT1A1*1, UGT1A1*28	0.9509900498999999	
ABL1	SLIT2	0.842023951637581	
ALB	complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	0.954526206676	
RXRA	MED31	0.7989062580087279	
Indomethacin	UGT2B7	1	
RXRA	MED8	0.7989062580087279	
CYP2C9	CYP2C9*1, CYP2C9*13, CYP2C9*3	0.99	
FYN	DPYSL3	0.8396144291374222	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	BBC3	0.8638247395845513	
CFTR	CLTC	0.865738626524793	
PDGFRB	FGFR4	0.8435102388865442	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	NCOA3	0.818984274335209	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	PRSS3	0.8638247395845513	
LCK	PRKCQ	0.7872074365980737	
Ibuprofen	SLC22A8	1	
IKBKB	CHUK	0.8587458633585864	
AGTR1	CCKAR	0.8252219011119977	
ABCC3	rs4148416	0.99	
UGT1A1	rs8330	0.8775210229989678	
UGT1A6	UGT1A6*1a, UGT1A6*2a, UGT1A6*3a, UGT1A6*4a, UGT1A6*8	0.9135172474836407	
CYP2C9	rs12782374	0.99	
CFTR	AGFG1	0.8628338709774962	
CYP3A4	rs4986910	0.9135172474836407	
FYN	SPTBN4	0.857186514138311	
rs2070959	UGT1A10	0.8863848717161291	
SRC	ELMO2	0.7983096722548423	
AGTR1	P2RY1	0.8354005520686607	
MAPK3	F2R	0.8431915794946425	
CFTR	AMPH	0.863443159858049	
UGT1A1	rs10929302	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	TSC22D1	0.8638247395845513	
CYP3A4	rs4646440	0.9135172474836407	
EGFR	IRS1	0.853898073011433	
EGFR	REPS2	0.8629698029978776	
SLCO1B1	rs2306283	0.99	
RXRA	MED1	0.8447236169788426	
LCK	HLA-DPA1	0.8637443836010867	
AGTR1	GRPR	0.8354005520686607	
ABCC1	rs35592	0.99	
CFTR	IGF2R	0.8621379174857935	
Naproxen	SLCO1A2	1	
FYN	NRG1	0.847975029345742	
PPARA	SIN3B	0.8294526363440686	
ABCB1	rs2235067	0.99	
AGTR1	FFAR2	0.8354005520686607	
PPARG	MED28	0.7989062580087279	
CFTR	SYT1	0.8628338709774962	
SRC	F2R	0.8431915794946425	
CYP3A4	rs2740574	0.9509900498999999	
CYP2D6	CYP2D6*1, CYP2D6*15, CYP2D6*4	0.99	
EGFR	SHC2	0.8372883840480309	
CYP2C19	rs28399504	0.99	
CYP3A4	CYP3A4*1, CYP3A4*20, CYP3A4*8	0.9509900498999999	
EGFR	KLB	0.857607030791991	
SLCO1B1	rs4149036	0.99	
VEGFA	ROCK2	0.8252219011119977	
FYN	STAT1	0.8396144291374222	
CFTR	rs193922525	0.99	
EGFR	ACTN2	0.8435102388865442	
SRC	EPHA3	0.8566409204013108	
CFTR	VAMP4	0.8621379174857935	
EGFR	HGF	0.855946747881349	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	QTRTD1	0.8638247395845513	
CYP2D6	rs367543000	0.99	
FYN	FGF2	0.8632846785253419	
CYP2D6	CYP2D6*1, CYP2D6*3, CYP2D6*4, CYP2D6*5	0.99	
CYP2C9	rs72558187	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CNOT1	0.818984274335209	
SRC	PTPN11	0.8612838545370343	
ABCC4	rs7317112	0.99	
PDGFRB	FGFR3	0.8435102388865442	
STAT5B	IL5RA	0.8497082254156562	
Indomethacin	SLCO1A2	1	
IKBKB	REL	0.8086124452583398	
UGT1A9	rs2003569	0.9509900498999999	
UGT1A9	rs72551330	0.9135172474836407	
UGT1A9	rs34993780	0.8953382542587163	
EGFR	UBC	0.8665736784466054	
PTK6	BTC	0.8633557898536034	
CFTR	FNBP1	0.863443159858049	
SRC	ITGAV	0.8459813396079446	
AGTR1	CHRM1	0.8354005520686607	
KDR	rs34231037	0.99	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	APOC1	0.8638247395845513	
CFTR	LDLRAP1	0.8628338709774962	
PDGFRB	EREG	0.847975029345742	
SRC	NCK1	0.8536170489627942	
UGT1A1	rs1042640	0.9320653479069899	
FYN	FGF20	0.8632846785253419	
CFTR	AP2S1	0.8666098248257992	
UGT1A9	rs35350960	0.8953382542587163	
CYP2D6	CYP2D6*1, CYP2D6*10, CYP2D6*1xN, CYP2D6*2, CYP2D6*2xN, CYP2D6*3, CYP2D6*4, CYP2D6*41, CYP2D6*5, CYP2D6*6	0.99	
Piroxicam	CYP2C9	1	
UGT1A7	rs17863778	0.8600583546412883	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	TTPAL	0.818984274335209	
FYN	FGF1	0.8632846785253419	
FMO1	rs12720462	0.99	
PDGFRB	PDGFB	0.8694436545752403	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	CST3	0.8638247395845513	
REN	rs2368564	0.8350751364976787	
EGFR	FGF17	0.8658423074095727	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	JARID2	0.8638247395845513	
CFTR	SNX9	0.863443159858049	
VEGFA	ITGAV	0.8557214641066988	
YES1	SH2B2	0.8351516051398434	
CYP3A4	rs2246709	0.9509900498999999	
ACE	rs4291	0.99	
EGFR	EREG	0.8693683183476757	
KIT	PTPN11	0.8586276307522482	
UGT1A9	rs2070959	0.9320653479069899	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	refseq:NP_001914	0.8638247395845513	
Indomethacin	SLC22A6	1	
KIT	FGF18	0.8610963123912945	
AGTR1	MCHR2	0.8354005520686607	
EGFR	PIK3R1	0.8687862016101843	
EGFR	ARPC1A	0.8628338709774962	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	LDB3	0.818984274335209	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	PDE4B	0.8638247395845513	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SETX	0.818984274335209	
CES1	rs71647872	0.99	
UGT1A9	rs35350960	0.9509900498999999	
FYN	PIK3R2	0.8554315896386415	
CYP2C8	CYP2C8*1A, CYP2C8*2, CYP2C8*3	0.99	
LCK	VAV2	0.8520838925573979	
IKBKB	BCL10	0.8294526363440686	
SRC	SRC	0.8706975096407819	
UGT1A9	rs34993780	0.99	
ABCC2	rs3740065	0.99	
CYP3A4	rs56324128	0.8775210229989678	
VEGFA	rs144854329	0.99	
LCK	HLA-DQB1	0.8637443836010867	
CYP3A4	CYP3A4*1, CYP3A4*22	0.9509900498999999	
UGT2B7	rs11940316	0.99	
AGTR1	GPR65	0.8354005520686607	
PLA2G2A	LPCAT4	0.853898073011433	
ABL2	GPC1	0.842023951637581	
KDR	ITGB3	0.8557214641066988	
YES1	EPHB4	0.8591633312389747	
FYN	EFNB2	0.8664623807565615	
VEGFA	SRC	0.8684977548176123	
UGT1A9	rs3832043	0.9702989999999999	
LCK	CSK	0.8545025065589051	
UGT1A6	rs1105879	0.8775210229989678	
PPARA	SIN3A	0.8294526363440686	
IKBKB	TNIP2	0.849809014912932	
SLCO1B1	SLCO1B1*15, SLCO1B1*1B	0.99	
FYN	EFNB3	0.8664623807565615	
AGTR1	F2	0.833320481754769	
MTHFR	rs1801133	0.99	
RXRA	rs2234753	0.99	
VEGFA	rs3025039	0.99	
FYN	DPYSL2	0.8396144291374222	
EGFR	FGF18	0.8643329280224298	
UGT1A8	rs1042597	0.8953382542587163	
IKBKB	CARD11	0.8294526363440686	
PDGFRB	ERBB4	0.847975029345742	
ABCB1	rs3213619	0.99	
PTGDR2	GNG2	0.8497082254156562	
Ramucirumab	KDR	1	
LCK	KLRD1	0.8516636985739204	
Indomethacin	ABCC11	1	
MMP2	TIMP2	0.8483182916706136	
EGFR	PSPN	0.847975029345742	
EGFR	CAMK2B	0.8435102388865442	
UGT1A10	rs2070959	0.9320653479069899	
EGFR	ADRB2	0.863443159858049	
RXRA	MED25	0.7989062580087279	
Ibuprofen	THBD	1	
rs6759892	UGT1A10	0.8687458127689781	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SPAST	0.8638247395845513	
RXRA	MED15	0.7989062580087279	
FYN	FGF16	0.8601235081501506	
OCRL	rs113165732	0.8527229762742226	
FYN	CD86	0.8616414586114868	
MAPK3	NRAS	0.8683297969239809	
UGT1A6	rs17863783	0.9702989999999999	
PPARG	HDAC3	0.8294526363440686	
ABCC2	rs4148386	0.99	
EGFR	FGFR4	0.857607030791991	
CYP3A4	rs4646437	0.99	
rs6759892	UGT1A8	0.9414801494009999	
FYN	FARP2	0.8484307441293273	
